Action	Reward
{'layer0_row221': [0, 221]}	-100
{'layer1_row98': [1, 98]}	tensor(0.0977)
{'layer0_row108': [0, 108]}	tensor(0.0984)
{'layer1_row88': [1, 88]}	tensor(0.0975)
{'layer0_row246': [0, 246]}	tensor(0.0967)
{'layer1_row66': [1, 66]}	tensor(0.0968)
{'layer1_row72': [1, 72]}	tensor(0.0966)
{'layer0_row171': [0, 171]}	tensor(0.0975)
{'layer0_row0': [0, 0]}	tensor(0.0980)
{'layer0_row45': [0, 45]}	tensor(0.0961)
{'layer0_row14': [0, 14]}	tensor(0.0963)
{'layer0_row203': [0, 203]}	tensor(0.0949)
{'layer1_row41': [1, 41]}	tensor(0.0954)
{'layer1_row79': [1, 79]}	tensor(0.0957)
{'layer0_row160': [0, 160]}	tensor(0.0951)
{'layer0_row200': [0, 200]}	tensor(0.0959)
{'layer0_row103': [0, 103]}	tensor(0.0939)
{'layer0_row32': [0, 32]}	tensor(0.0942)
{'layer0_row119': [0, 119]}	tensor(0.0937)
{'layer0_row30': [0, 30]}	tensor(0.0942)
{'layer0_row126': [0, 126]}	tensor(0.0939)
{'layer0_row169': [0, 169]}	tensor(0.0928)
{'layer1_row1': [1, 1]}	tensor(0.0927)
{'layer1_row55': [1, 55]}	tensor(0.0923)
{'layer0_row26': [0, 26]}	tensor(0.0924)
{'layer0_row155': [0, 155]}	tensor(0.0930)
{'layer0_row161': [0, 161]}	tensor(0.0921)
{'layer0_row44': [0, 44]}	tensor(0.0915)
{'layer1_row59': [1, 59]}	tensor(0.0910)
{'layer0_row83': [0, 83]}	tensor(0.0906)
{'layer0_row207': [0, 207]}	tensor(0.0913)
{'layer1_row90': [1, 90]}	tensor(0.0908)
{'layer0_row193': [0, 193]}	tensor(0.0905)
{'layer0_row247': [0, 247]}	tensor(0.0915)
{'layer0_row189': [0, 189]}	tensor(0.0894)
{'layer0_row212': [0, 212]}	tensor(0.0886)
{'layer1_row23': [1, 23]}	tensor(0.0887)
{'layer0_row79': [0, 79]}	tensor(0.0899)
{'layer0_row50': [0, 50]}	tensor(0.0885)
{'layer0_row229': [0, 229]}	tensor(0.0883)
{'layer0_row74': [0, 74]}	tensor(0.0880)
{'layer0_row66': [0, 66]}	tensor(0.0871)
{'layer0_row165': [0, 165]}	tensor(0.0863)
{'layer0_row107': [0, 107]}	tensor(0.0877)
{'layer0_row137': [0, 137]}	tensor(0.0862)
{'layer0_row123': [0, 123]}	tensor(0.0865)
{'layer1_row31': [1, 31]}	tensor(0.0861)
{'layer1_row62': [1, 62]}	tensor(0.0851)
{'layer0_row263': [0, 263]}	tensor(0.0855)
{'layer1_row44': [1, 44]}	tensor(0.0849)
{'layer0_row147': [0, 147]}	tensor(0.0854)
{'layer0_row231': [0, 231]}	tensor(0.0850)
{'layer0_row71': [0, 71]}	tensor(0.0850)
{'layer1_row6': [1, 6]}	tensor(0.0847)
{'layer1_row85': [1, 85]}	tensor(0.0845)
{'layer0_row118': [0, 118]}	tensor(0.0840)
{'layer0_row187': [0, 187]}	tensor(0.0834)
{'layer1_row30': [1, 30]}	tensor(0.0834)
{'layer0_row292': [0, 292]}	tensor(0.0838)
{'layer0_row272': [0, 272]}	tensor(0.0830)
{'layer0_row62': [0, 62]}	tensor(0.0828)
{'layer0_row134': [0, 134]}	tensor(0.0817)
{'layer0_row29': [0, 29]}	tensor(0.0821)
{'layer0_row48': [0, 48]}	tensor(0.0813)
{'layer1_row38': [1, 38]}	tensor(0.0816)
{'layer0_row106': [0, 106]}	tensor(0.0810)
{'layer0_row253': [0, 253]}	tensor(0.0818)
{'layer1_row49': [1, 49]}	tensor(0.0812)
{'layer0_row208': [0, 208]}	tensor(0.0799)
{'layer0_row12': [0, 12]}	tensor(0.0801)
{'layer1_row25': [1, 25]}	tensor(0.0798)
{'layer1_row94': [1, 94]}	tensor(0.0799)
{'layer0_row232': [0, 232]}	tensor(0.0800)
{'layer1_row84': [1, 84]}	tensor(0.0791)
{'layer0_row120': [0, 120]}	tensor(0.0790)
{'layer0_row56': [0, 56]}	tensor(0.0786)
{'layer1_row92': [1, 92]}	tensor(0.0788)
{'layer0_row104': [0, 104]}	tensor(0.0781)
{'layer1_row87': [1, 87]}	tensor(0.0795)
{'layer0_row18': [0, 18]}	tensor(0.0783)
{'layer0_row53': [0, 53]}	tensor(0.0782)
{'layer0_row133': [0, 133]}	tensor(0.0772)
{'layer0_row41': [0, 41]}	tensor(0.0769)
{'layer0_row201': [0, 201]}	tensor(0.0765)
{'layer0_row129': [0, 129]}	tensor(0.0762)
{'layer1_row91': [1, 91]}	tensor(0.0763)
{'layer0_row158': [0, 158]}	tensor(0.0762)
{'layer1_row27': [1, 27]}	tensor(0.0762)
{'layer1_row70': [1, 70]}	tensor(0.0761)
{'layer0_row234': [0, 234]}	tensor(0.0756)
{'layer0_row148': [0, 148]}	tensor(0.0753)
{'layer1_row33': [1, 33]}	tensor(0.0749)
{'layer0_row162': [0, 162]}	tensor(0.0753)
{'layer0_row68': [0, 68]}	tensor(0.0748)
{'layer0_row294': [0, 294]}	tensor(0.0751)
{'layer0_row96': [0, 96]}	tensor(0.0737)
{'layer0_row105': [0, 105]}	tensor(0.0738)
{'layer1_row99': [1, 99]}	tensor(0.0732)
{'layer0_row156': [0, 156]}	tensor(0.0728)
{'layer1_row26': [1, 26]}	tensor(0.0729)
{'layer0_row7': [0, 7]}	tensor(0.0728)
{'layer0_row274': [0, 274]}	tensor(0.0725)
{'layer1_row24': [1, 24]}	tensor(0.0721)
{'layer0_row25': [0, 25]}	tensor(0.0723)
{'layer0_row177': [0, 177]}	tensor(0.0716)
{'layer0_row157': [0, 157]}	tensor(0.0717)
{'layer0_row85': [0, 85]}	tensor(0.0709)
{'layer0_row54': [0, 54]}	tensor(0.0705)
{'layer1_row63': [1, 63]}	tensor(0.0708)
{'layer0_row20': [0, 20]}	tensor(0.0702)
{'layer0_row46': [0, 46]}	tensor(0.0699)
{'layer0_row216': [0, 216]}	tensor(0.0704)
{'layer0_row130': [0, 130]}	tensor(0.0692)
{'layer1_row78': [1, 78]}	tensor(0.0695)
{'layer0_row1': [0, 1]}	tensor(0.0695)
{'layer1_row45': [1, 45]}	tensor(0.0685)
{'layer0_row289': [0, 289]}	tensor(0.0690)
{'layer0_row277': [0, 277]}	tensor(0.0686)
{'layer0_row102': [0, 102]}	tensor(0.0683)
{'layer0_row179': [0, 179]}	tensor(0.0679)
{'layer0_row24': [0, 24]}	tensor(0.0675)
{'layer0_row262': [0, 262]}	tensor(0.0674)
{'layer0_row223': [0, 223]}	tensor(0.0660)
{'layer0_row3': [0, 3]}	tensor(0.0666)
{'layer1_row67': [1, 67]}	tensor(0.0659)
{'layer0_row16': [0, 16]}	tensor(0.0660)
{'layer0_row2': [0, 2]}	tensor(0.0667)
{'layer0_row182': [0, 182]}	tensor(0.0658)
{'layer1_row81': [1, 81]}	tensor(0.0653)
{'layer0_row166': [0, 166]}	tensor(0.0650)
{'layer0_row87': [0, 87]}	tensor(0.0654)
{'layer0_row235': [0, 235]}	tensor(0.0648)
{'layer0_row256': [0, 256]}	tensor(0.0640)
{'layer1_row61': [1, 61]}	tensor(0.0636)
{'layer0_row60': [0, 60]}	tensor(0.0636)
{'layer0_row186': [0, 186]}	tensor(0.0634)
{'layer1_row48': [1, 48]}	tensor(0.0632)
{'layer0_row11': [0, 11]}	tensor(0.0633)
{'layer0_row127': [0, 127]}	tensor(0.0627)
{'layer0_row72': [0, 72]}	tensor(0.0628)
{'layer0_row61': [0, 61]}	tensor(0.0625)
{'layer0_row183': [0, 183]}	tensor(0.0623)
{'layer0_row115': [0, 115]}	tensor(0.0617)
{'layer0_row27': [0, 27]}	tensor(0.0617)
{'layer0_row110': [0, 110]}	tensor(0.0604)
{'layer0_row237': [0, 237]}	tensor(0.0611)
{'layer0_row99': [0, 99]}	tensor(0.0601)
{'layer0_row8': [0, 8]}	tensor(0.0600)
{'layer0_row222': [0, 222]}	tensor(0.0599)
{'layer1_row73': [1, 73]}	tensor(0.0592)
{'layer0_row28': [0, 28]}	tensor(0.0589)
{'layer0_row288': [0, 288]}	tensor(0.0596)
{'layer0_row76': [0, 76]}	tensor(0.0595)
{'layer0_row58': [0, 58]}	tensor(0.0584)
{'layer0_row174': [0, 174]}	tensor(0.0581)
{'layer1_row75': [1, 75]}	tensor(0.0582)
{'layer0_row55': [0, 55]}	tensor(0.0573)
{'layer1_row65': [1, 65]}	tensor(0.0574)
{'layer1_row2': [1, 2]}	tensor(0.0574)
{'layer0_row17': [0, 17]}	tensor(0.0573)
{'layer0_row136': [0, 136]}	tensor(0.0567)
{'layer0_row276': [0, 276]}	tensor(0.0567)
{'layer0_row38': [0, 38]}	tensor(0.0567)
{'layer0_row88': [0, 88]}	tensor(0.0559)
{'layer0_row109': [0, 109]}	tensor(0.0551)
{'layer1_row93': [1, 93]}	tensor(0.0555)
{'layer0_row22': [0, 22]}	tensor(0.0554)
{'layer0_row271': [0, 271]}	tensor(0.0552)
{'layer0_row243': [0, 243]}	tensor(0.0549)
{'layer0_row265': [0, 265]}	tensor(0.0543)
{'layer1_row35': [1, 35]}	tensor(0.0544)
{'layer0_row242': [0, 242]}	tensor(0.0546)
{'layer1_row53': [1, 53]}	tensor(0.0539)
{'layer0_row293': [0, 293]}	tensor(0.0536)
{'layer0_row113': [0, 113]}	tensor(0.0528)
{'layer1_row89': [1, 89]}	tensor(0.0528)
{'layer0_row278': [0, 278]}	tensor(0.0529)
{'layer0_row238': [0, 238]}	tensor(0.0528)
{'layer0_row94': [0, 94]}	tensor(0.0523)
{'layer1_row3': [1, 3]}	tensor(0.0520)
{'layer0_row5': [0, 5]}	tensor(0.0515)
{'layer0_row290': [0, 290]}	tensor(0.0518)
{'layer0_row64': [0, 64]}	tensor(0.0511)
{'layer0_row92': [0, 92]}	tensor(0.0510)
{'layer0_row248': [0, 248]}	tensor(0.0510)
{'layer0_row70': [0, 70]}	tensor(0.0502)
{'layer0_row279': [0, 279]}	tensor(0.0501)
{'layer1_row51': [1, 51]}	tensor(0.0496)
{'layer1_row97': [1, 97]}	tensor(0.0495)
{'layer0_row170': [0, 170]}	tensor(0.0501)
{'layer0_row36': [0, 36]}	tensor(0.0492)
{'layer0_row255': [0, 255]}	tensor(0.0490)
{'layer0_row132': [0, 132]}	tensor(0.0484)
{'layer0_row141': [0, 141]}	tensor(0.0483)
{'layer0_row152': [0, 152]}	tensor(0.0481)
{'layer0_row167': [0, 167]}	tensor(0.0480)
{'layer0_row114': [0, 114]}	tensor(0.0476)
{'layer0_row202': [0, 202]}	tensor(0.0475)
