Action	Reward
{'layer0_row190': [0, 190]}	tensor(-0.8977)
{'layer0_row122': [0, 122]}	tensor(-0.8948)
{'layer0_row228': [0, 228]}	tensor(-0.8920)
{'layer0_row158': [0, 158]}	tensor(-0.8895)
{'layer0_row246': [0, 246]}	tensor(-0.8863)
{'layer0_row257': [0, 257]}	tensor(-0.8830)
{'layer0_row292': [0, 292]}	tensor(-0.8795)
{'layer0_row192': [0, 192]}	tensor(-0.8773)
{'layer1_row5': [1, 5]}	tensor(-0.8741)
{'layer0_row94': [0, 94]}	tensor(-0.8737)
{'layer0_row38': [0, 38]}	tensor(-0.8700)
{'layer0_row164': [0, 164]}	tensor(-0.8663)
{'layer1_row47': [1, 47]}	tensor(-0.8634)
{'layer1_row64': [1, 64]}	tensor(-0.8636)
{'layer0_row43': [0, 43]}	tensor(-0.8624)
{'layer0_row249': [0, 249]}	tensor(-0.8586)
{'layer1_row38': [1, 38]}	tensor(-0.8555)
{'layer0_row169': [0, 169]}	tensor(-0.8554)
{'layer0_row53': [0, 53]}	tensor(-0.8523)
{'layer0_row77': [0, 77]}	tensor(-0.8492)
{'layer0_row251': [0, 251]}	tensor(-0.8460)
{'layer0_row271': [0, 271]}	tensor(-0.8432)
{'layer0_row198': [0, 198]}	tensor(-0.8413)
{'layer0_row2': [0, 2]}	tensor(-0.8364)
{'layer0_row68': [0, 68]}	tensor(-0.8346)
{'layer0_row9': [0, 9]}	tensor(-0.8319)
{'layer0_row99': [0, 99]}	tensor(-0.8289)
{'layer1_row72': [1, 72]}	tensor(-0.8263)
{'layer1_row67': [1, 67]}	tensor(-0.8246)
{'layer0_row259': [0, 259]}	tensor(-0.8241)
{'layer0_row253': [0, 253]}	tensor(-0.8206)
{'layer0_row217': [0, 217]}	tensor(-0.8180)
{'layer0_row244': [0, 244]}	tensor(-0.8157)
{'layer0_row34': [0, 34]}	tensor(-0.8123)
{'layer0_row55': [0, 55]}	tensor(-0.8092)
{'layer0_row280': [0, 280]}	tensor(-0.8057)
{'layer0_row243': [0, 243]}	tensor(-0.8025)
{'layer0_row209': [0, 209]}	tensor(-0.7998)
{'layer1_row54': [1, 54]}	tensor(-0.7967)
{'layer1_row86': [1, 86]}	tensor(-0.7953)
{'layer1_row80': [1, 80]}	tensor(-0.7951)
{'layer0_row289': [0, 289]}	tensor(-0.7941)
{'layer0_row230': [0, 230]}	tensor(-0.7913)
{'layer1_row31': [1, 31]}	tensor(-0.7883)
{'layer0_row240': [0, 240]}	tensor(-0.7877)
{'layer0_row29': [0, 29]}	tensor(-0.7846)
{'layer1_row22': [1, 22]}	tensor(-0.7808)
{'layer0_row59': [0, 59]}	tensor(-0.7800)
{'layer0_row175': [0, 175]}	tensor(-0.7772)
{'layer0_row97': [0, 97]}	tensor(-0.7751)
{'layer1_row51': [1, 51]}	tensor(-0.7722)
{'layer0_row143': [0, 143]}	tensor(-0.7707)
{'layer0_row66': [0, 66]}	tensor(-0.7671)
{'layer0_row45': [0, 45]}	tensor(-0.7652)
{'layer0_row227': [0, 227]}	tensor(-0.7614)
{'layer0_row144': [0, 144]}	tensor(-0.7589)
{'layer0_row213': [0, 213]}	tensor(-0.7564)
{'layer1_row74': [1, 74]}	tensor(-0.7527)
{'layer1_row35': [1, 35]}	tensor(-0.7516)
{'layer0_row88': [0, 88]}	tensor(-0.7516)
{'layer0_row75': [0, 75]}	tensor(-0.7480)
{'layer0_row26': [0, 26]}	tensor(-0.7458)
{'layer0_row180': [0, 180]}	tensor(-0.7426)
{'layer0_row72': [0, 72]}	tensor(-0.7391)
{'layer0_row31': [0, 31]}	tensor(-0.7366)
{'layer1_row85': [1, 85]}	tensor(-0.7339)
{'layer1_row26': [1, 26]}	tensor(-0.7327)
{'layer0_row130': [0, 130]}	tensor(-0.7317)
{'layer0_row127': [0, 127]}	tensor(-0.7287)
{'layer0_row123': [0, 123]}	tensor(-0.7260)
{'layer0_row248': [0, 248]}	tensor(-0.7235)
{'layer1_row33': [1, 33]}	tensor(-0.7212)
{'layer0_row10': [0, 10]}	tensor(-0.7196)
{'layer1_row45': [1, 45]}	tensor(-0.7166)
{'layer0_row65': [0, 65]}	tensor(-0.7153)
{'layer1_row49': [1, 49]}	tensor(-0.7125)
{'layer0_row284': [0, 284]}	tensor(-0.7118)
{'layer0_row64': [0, 64]}	tensor(-0.7092)
{'layer0_row162': [0, 162]}	tensor(-0.7054)
{'layer0_row85': [0, 85]}	tensor(-0.7026)
{'layer0_row154': [0, 154]}	tensor(-0.6998)
{'layer0_row120': [0, 120]}	tensor(-0.6965)
{'layer1_row30': [1, 30]}	tensor(-0.6950)
{'layer0_row220': [0, 220]}	tensor(-0.6935)
{'layer0_row74': [0, 74]}	tensor(-0.6905)
{'layer0_row225': [0, 225]}	tensor(-0.6875)
{'layer0_row106': [0, 106]}	tensor(-0.6845)
{'layer0_row203': [0, 203]}	tensor(-0.6823)
{'layer0_row37': [0, 37]}	tensor(-0.6782)
{'layer0_row211': [0, 211]}	tensor(-0.6760)
{'layer0_row268': [0, 268]}	tensor(-0.6732)
{'layer0_row231': [0, 231]}	tensor(-0.6701)
{'layer0_row167': [0, 167]}	tensor(-0.6669)
{'layer0_row165': [0, 165]}	tensor(-0.6643)
{'layer0_row93': [0, 93]}	tensor(-0.6611)
{'layer0_row89': [0, 89]}	tensor(-0.6585)
{'layer0_row170': [0, 170]}	tensor(-0.6556)
{'layer0_row100': [0, 100]}	tensor(-0.6524)
{'layer1_row73': [1, 73]}	tensor(-0.6499)
{'layer1_row56': [1, 56]}	tensor(-0.6489)
{'layer1_row36': [1, 36]}	tensor(-0.6479)
{'layer1_row18': [1, 18]}	tensor(-0.6473)
{'layer0_row293': [0, 293]}	tensor(-0.6465)
{'layer0_row159': [0, 159]}	tensor(-0.6436)
{'layer0_row226': [0, 226]}	tensor(-0.6410)
{'layer0_row188': [0, 188]}	tensor(-0.6380)
{'layer0_row7': [0, 7]}	tensor(-0.6353)
{'layer0_row221': [0, 221]}	tensor(-0.6322)
{'layer0_row241': [0, 241]}	tensor(-0.6290)
{'layer0_row139': [0, 139]}	tensor(-0.6267)
{'layer1_row55': [1, 55]}	tensor(-0.6235)
{'layer0_row218': [0, 218]}	tensor(-0.6230)
{'layer0_row294': [0, 294]}	tensor(-0.6192)
{'layer0_row283': [0, 283]}	tensor(-0.6172)
{'layer0_row96': [0, 96]}	tensor(-0.6132)
