Action	Reward
{'layer0_row256': [0, 256]}	tensor(0.0921)
{'layer1_row94': [1, 94]}	tensor(0.0921)
{'layer0_row121': [0, 121]}	tensor(0.0922)
{'layer0_row299': [0, 299]}	tensor(0.0920)
{'layer0_row151': [0, 151]}	tensor(0.0936)
{'layer0_row274': [0, 274]}	tensor(0.0935)
{'layer0_row176': [0, 176]}	tensor(0.0936)
{'layer0_row272': [0, 272]}	tensor(0.0939)
{'layer0_row275': [0, 275]}	tensor(0.0937)
{'layer0_row143': [0, 143]}	tensor(0.0950)
{'layer0_row263': [0, 263]}	tensor(0.0954)
{'layer0_row235': [0, 235]}	tensor(0.0951)
{'layer1_row65': [1, 65]}	tensor(0.0961)
{'layer1_row80': [1, 80]}	tensor(0.0954)
{'layer0_row112': [0, 112]}	tensor(0.0951)
{'layer1_row4': [1, 4]}	tensor(0.0952)
{'layer0_row220': [0, 220]}	tensor(0.0963)
{'layer0_row59': [0, 59]}	tensor(0.0963)
{'layer0_row145': [0, 145]}	tensor(0.0968)
{'layer0_row276': [0, 276]}	tensor(0.0979)
{'layer0_row2': [0, 2]}	tensor(0.0970)
{'layer0_row81': [0, 81]}	tensor(0.0972)
{'layer0_row174': [0, 174]}	tensor(0.0984)
{'layer0_row20': [0, 20]}	tensor(0.0980)
{'layer0_row45': [0, 45]}	tensor(0.0988)
{'layer0_row137': [0, 137]}	tensor(0.0985)
{'layer0_row217': [0, 217]}	tensor(0.1000)
{'layer0_row163': [0, 163]}	tensor(0.1003)
{'layer0_row265': [0, 265]}	tensor(0.0999)
{'layer0_row244': [0, 244]}	tensor(0.1006)
{'layer1_row77': [1, 77]}	tensor(0.1018)
{'layer0_row108': [0, 108]}	tensor(0.1012)
{'layer0_row171': [0, 171]}	tensor(0.1017)
{'layer0_row246': [0, 246]}	tensor(0.1021)
{'layer0_row228': [0, 228]}	tensor(0.1028)
{'layer0_row247': [0, 247]}	tensor(0.1025)
{'layer1_row30': [1, 30]}	tensor(0.1026)
{'layer0_row83': [0, 83]}	tensor(0.1026)
{'layer1_row68': [1, 68]}	tensor(0.1030)
{'layer0_row293': [0, 293]}	tensor(0.1034)
{'layer0_row117': [0, 117]}	tensor(0.1037)
{'layer1_row37': [1, 37]}	tensor(0.1046)
{'layer1_row59': [1, 59]}	tensor(0.1054)
{'layer0_row213': [0, 213]}	tensor(0.1046)
{'layer0_row148': [0, 148]}	tensor(0.1054)
{'layer0_row13': [0, 13]}	tensor(0.1054)
