Action	Reward
{'layer0_row249': [0, 249]}	tensor(-0.8854)
{'layer0_row94': [0, 94]}	tensor(-0.8826)
{'layer0_row158': [0, 158]}	tensor(-0.8806)
{'layer1_row53': [1, 53]}	tensor(-0.8765)
{'layer0_row164': [0, 164]}	tensor(-0.8765)
{'layer0_row246': [0, 246]}	tensor(-0.8726)
{'layer1_row33': [1, 33]}	tensor(-0.8706)
{'layer0_row228': [0, 228]}	tensor(-0.8697)
{'layer0_row125': [0, 125]}	tensor(-0.8664)
{'layer0_row190': [0, 190]}	tensor(-0.8636)
{'layer0_row122': [0, 122]}	tensor(-0.8600)
{'layer0_row257': [0, 257]}	tensor(-0.8574)
{'layer0_row97': [0, 97]}	tensor(-0.8538)
{'layer0_row292': [0, 292]}	tensor(-0.8506)
{'layer0_row192': [0, 192]}	tensor(-0.8487)
{'layer1_row5': [1, 5]}	tensor(-0.8454)
{'layer0_row38': [0, 38]}	tensor(-0.8432)
{'layer0_row126': [0, 126]}	tensor(-0.8410)
{'layer1_row38': [1, 38]}	tensor(-0.8383)
{'layer1_row47': [1, 47]}	tensor(-0.8379)
{'layer1_row64': [1, 64]}	tensor(-0.8368)
{'layer0_row43': [0, 43]}	tensor(-0.8357)
{'layer0_row217': [0, 217]}	tensor(-0.8332)
{'layer0_row99': [0, 99]}	tensor(-0.8293)
{'layer0_row53': [0, 53]}	tensor(-0.8263)
{'layer0_row271': [0, 271]}	tensor(-0.8237)
{'layer0_row169': [0, 169]}	tensor(-0.8211)
{'layer0_row251': [0, 251]}	tensor(-0.8177)
{'layer0_row77': [0, 77]}	tensor(-0.8155)
{'layer0_row9': [0, 9]}	tensor(-0.8117)
{'layer0_row68': [0, 68]}	tensor(-0.8095)
{'layer0_row198': [0, 198]}	tensor(-0.8063)
{'layer0_row2': [0, 2]}	tensor(-0.8035)
{'layer1_row67': [1, 67]}	tensor(-0.8012)
{'layer1_row72': [1, 72]}	tensor(-0.7988)
{'layer0_row259': [0, 259]}	tensor(-0.7995)
