Action	Reward
{'layer0_row278': [0, 278]}	tensor(0.0890)
{'layer1_row92': [1, 92]}	tensor(0.0887)
{'layer0_row114': [0, 114]}	tensor(0.0896)
{'layer0_row129': [0, 129]}	tensor(0.0892)
{'layer1_row98': [1, 98]}	tensor(0.0895)
{'layer1_row11': [1, 11]}	tensor(0.0895)
{'layer1_row61': [1, 61]}	tensor(0.0900)
{'layer0_row87': [0, 87]}	tensor(0.0901)
{'layer0_row133': [0, 133]}	tensor(0.0902)
{'layer0_row2': [0, 2]}	tensor(0.0908)
{'layer0_row9': [0, 9]}	tensor(0.0911)
{'layer0_row50': [0, 50]}	tensor(0.0915)
{'layer0_row137': [0, 137]}	tensor(0.0921)
{'layer0_row240': [0, 240]}	tensor(0.0918)
{'layer0_row62': [0, 62]}	tensor(0.0919)
{'layer0_row244': [0, 244]}	tensor(0.0921)
{'layer1_row71': [1, 71]}	tensor(0.0931)
{'layer0_row170': [0, 170]}	tensor(0.0920)
{'layer1_row97': [1, 97]}	tensor(0.0932)
{'layer1_row39': [1, 39]}	tensor(0.0938)
{'layer1_row50': [1, 50]}	tensor(0.0938)
{'layer0_row283': [0, 283]}	tensor(0.0934)
{'layer0_row215': [0, 215]}	tensor(0.0938)
{'layer0_row71': [0, 71]}	tensor(0.0939)
{'layer0_row55': [0, 55]}	tensor(0.0947)
{'layer0_row38': [0, 38]}	tensor(0.0949)
{'layer0_row4': [0, 4]}	tensor(0.0953)
{'layer1_row87': [1, 87]}	tensor(0.0945)
{'layer0_row225': [0, 225]}	tensor(0.0950)
{'layer0_row246': [0, 246]}	tensor(0.0955)
{'layer0_row138': [0, 138]}	tensor(0.0968)
{'layer0_row259': [0, 259]}	tensor(0.0974)
{'layer0_row234': [0, 234]}	tensor(0.0971)
{'layer0_row63': [0, 63]}	tensor(0.0970)
{'layer1_row37': [1, 37]}	tensor(0.0998)
{'layer0_row201': [0, 201]}	tensor(0.0983)
{'layer0_row166': [0, 166]}	tensor(0.0984)
{'layer0_row15': [0, 15]}	tensor(0.0983)
{'layer0_row77': [0, 77]}	tensor(0.0990)
{'layer0_row194': [0, 194]}	tensor(0.1000)
{'layer0_row279': [0, 279]}	tensor(0.0992)
{'layer0_row181': [0, 181]}	tensor(0.0999)
{'layer0_row174': [0, 174]}	tensor(0.1008)
{'layer1_row95': [1, 95]}	tensor(0.1007)
{'layer0_row275': [0, 275]}	tensor(0.1007)
{'layer1_row69': [1, 69]}	tensor(0.1016)
{'layer0_row237': [0, 237]}	tensor(0.1010)
{'layer0_row220': [0, 220]}	tensor(0.1023)
{'layer1_row38': [1, 38]}	tensor(0.1019)
{'layer0_row243': [0, 243]}	tensor(0.1034)
{'layer1_row89': [1, 89]}	tensor(0.1034)
{'layer0_row162': [0, 162]}	tensor(0.1027)
{'layer0_row219': [0, 219]}	tensor(0.1039)
{'layer0_row261': [0, 261]}	tensor(0.1036)
{'layer0_row134': [0, 134]}	tensor(0.1036)
{'layer0_row27': [0, 27]}	tensor(0.1044)
{'layer1_row99': [1, 99]}	tensor(0.1048)
{'layer0_row252': [0, 252]}	tensor(0.1051)
{'layer0_row198': [0, 198]}	tensor(0.1046)
{'layer1_row80': [1, 80]}	tensor(0.1056)
{'layer1_row83': [1, 83]}	tensor(0.1057)
{'layer0_row216': [0, 216]}	tensor(0.1063)
{'layer0_row22': [0, 22]}	tensor(0.1056)
{'layer0_row5': [0, 5]}	tensor(0.1058)
{'layer1_row25': [1, 25]}	tensor(0.1066)
{'layer0_row144': [0, 144]}	tensor(0.1072)
{'layer0_row84': [0, 84]}	tensor(0.1073)
{'layer1_row12': [1, 12]}	tensor(0.1099)
{'layer0_row20': [0, 20]}	tensor(0.1069)
{'layer0_row103': [0, 103]}	tensor(0.1091)
{'layer1_row3': [1, 3]}	tensor(0.1104)
{'layer0_row107': [0, 107]}	tensor(0.1084)
{'layer0_row108': [0, 108]}	tensor(0.1094)
{'layer0_row57': [0, 57]}	tensor(0.1097)
{'layer1_row40': [1, 40]}	tensor(0.1097)
{'layer1_row79': [1, 79]}	tensor(0.1104)
{'layer0_row249': [0, 249]}	tensor(0.1110)
{'layer0_row158': [0, 158]}	tensor(0.1118)
{'layer0_row230': [0, 230]}	tensor(0.1121)
{'layer0_row161': [0, 161]}	tensor(0.1129)
{'layer0_row157': [0, 157]}	tensor(0.1125)
{'layer1_row96': [1, 96]}	tensor(0.1129)
{'layer0_row52': [0, 52]}	tensor(0.1139)
{'layer0_row196': [0, 196]}	tensor(0.1134)
{'layer0_row214': [0, 214]}	tensor(0.1131)
{'layer0_row287': [0, 287]}	tensor(0.1145)
{'layer0_row176': [0, 176]}	tensor(0.1150)
{'layer0_row232': [0, 232]}	tensor(0.1161)
{'layer1_row28': [1, 28]}	tensor(0.1157)
{'layer0_row53': [0, 53]}	tensor(0.1172)
{'layer1_row29': [1, 29]}	tensor(0.1169)
