Action	Reward
{'layer0_row249': [0, 249]}	tensor(-0.8960)
{'layer0_row94': [0, 94]}	tensor(-0.8993)
{'layer0_row158': [0, 158]}	tensor(-0.9024)
{'layer1_row53': [1, 53]}	tensor(-0.9056)
{'layer0_row164': [0, 164]}	tensor(-0.9066)
{'layer0_row246': [0, 246]}	tensor(-0.9099)
{'layer1_row33': [1, 33]}	tensor(-0.9137)
{'layer0_row228': [0, 228]}	tensor(-0.9143)
{'layer0_row125': [0, 125]}	tensor(-0.9166)
{'layer0_row190': [0, 190]}	tensor(-0.9200)
{'layer0_row122': [0, 122]}	tensor(-0.9232)
{'layer0_row257': [0, 257]}	tensor(-0.9264)
{'layer0_row97': [0, 97]}	tensor(-0.9296)
{'layer0_row292': [0, 292]}	tensor(-0.9324)
{'layer0_row192': [0, 192]}	tensor(-0.9355)
{'layer1_row5': [1, 5]}	tensor(-0.9385)
{'layer0_row38': [0, 38]}	tensor(-0.9392)
{'layer0_row126': [0, 126]}	tensor(-0.9432)
{'layer1_row38': [1, 38]}	tensor(-0.9467)
{'layer1_row47': [1, 47]}	tensor(-0.9484)
{'layer1_row64': [1, 64]}	tensor(-0.9492)
{'layer0_row43': [0, 43]}	tensor(-0.9511)
{'layer0_row217': [0, 217]}	tensor(-0.9534)
{'layer0_row99': [0, 99]}	tensor(-0.9570)
{'layer0_row53': [0, 53]}	tensor(-0.9610)
{'layer0_row271': [0, 271]}	tensor(-0.9642)
{'layer0_row169': [0, 169]}	tensor(-0.9665)
{'layer0_row251': [0, 251]}	tensor(-0.9713)
{'layer0_row77': [0, 77]}	tensor(-0.9737)
{'layer0_row9': [0, 9]}	tensor(-0.9777)
{'layer0_row68': [0, 68]}	tensor(-0.9811)
{'layer0_row198': [0, 198]}	tensor(-0.9845)
{'layer0_row2': [0, 2]}	tensor(-0.9889)
{'layer1_row67': [1, 67]}	tensor(-0.9922)
{'layer1_row72': [1, 72]}	tensor(-0.9932)
{'layer0_row259': [0, 259]}	tensor(-0.9936)
{'layer0_row253': [0, 253]}	tensor(-0.9976)
{'layer1_row51': [1, 51]}	tensor(-1.0015)
{'layer0_row42': [0, 42]}	tensor(-1.0028)
{'layer0_row244': [0, 244]}	tensor(-1.0068)
{'layer1_row23': [1, 23]}	tensor(-1.0110)
{'layer1_row57': [1, 57]}	tensor(-1.0117)
{'layer0_row209': [0, 209]}	tensor(-1.0123)
{'layer0_row55': [0, 55]}	tensor(-1.0165)
{'layer0_row34': [0, 34]}	tensor(-1.0200)
{'layer1_row54': [1, 54]}	tensor(-1.0233)
{'layer0_row280': [0, 280]}	tensor(-1.0248)
{'layer0_row59': [0, 59]}	tensor(-1.0292)
{'layer0_row243': [0, 243]}	tensor(-1.0327)
{'layer1_row86': [1, 86]}	tensor(-1.0368)
{'layer0_row299': [0, 299]}	tensor(-1.0386)
{'layer0_row289': [0, 289]}	tensor(-1.0426)
{'layer0_row230': [0, 230]}	tensor(-1.0457)
{'layer1_row80': [1, 80]}	tensor(-1.0493)
{'layer0_row29': [0, 29]}	tensor(-1.0507)
{'layer1_row31': [1, 31]}	tensor(-1.0556)
{'layer0_row240': [0, 240]}	tensor(-1.0562)
{'layer1_row22': [1, 22]}	tensor(-1.0606)
{'layer0_row143': [0, 143]}	tensor(-1.0623)
{'layer0_row175': [0, 175]}	tensor(-1.0651)
{'layer0_row66': [0, 66]}	tensor(-1.0703)
{'layer0_row45': [0, 45]}	tensor(-1.0736)
{'layer0_row227': [0, 227]}	tensor(-1.0781)
{'layer1_row24': [1, 24]}	tensor(-1.0834)
{'layer0_row144': [0, 144]}	tensor(-1.0840)
{'layer0_row213': [0, 213]}	tensor(-1.0882)
{'layer0_row75': [0, 75]}	tensor(-1.0922)
{'layer1_row35': [1, 35]}	tensor(-1.0967)
{'layer1_row74': [1, 74]}	tensor(-1.0979)
{'layer0_row88': [0, 88]}	tensor(-1.0995)
{'layer1_row85': [1, 85]}	tensor(-1.1034)
{'layer1_row89': [1, 89]}	tensor(-1.1055)
{'layer0_row26': [0, 26]}	tensor(-1.1072)
{'layer0_row72': [0, 72]}	tensor(-1.1114)
{'layer0_row180': [0, 180]}	tensor(-1.1149)
{'layer0_row172': [0, 172]}	tensor(-1.1198)
{'layer0_row31': [0, 31]}	tensor(-1.1236)
{'layer1_row26': [1, 26]}	tensor(-1.1291)
{'layer0_row130': [0, 130]}	tensor(-1.1296)
{'layer0_row127': [0, 127]}	tensor(-1.1349)
{'layer0_row123': [0, 123]}	tensor(-1.1401)
{'layer0_row248': [0, 248]}	tensor(-1.1445)
{'layer0_row105': [0, 105]}	tensor(-1.1493)
{'layer0_row10': [0, 10]}	tensor(-1.1542)
{'layer0_row65': [0, 65]}	tensor(-1.1587)
{'layer1_row45': [1, 45]}	tensor(-1.1648)
{'layer0_row238': [0, 238]}	tensor(-1.1649)
{'layer1_row49': [1, 49]}	tensor(-1.1687)
{'layer0_row284': [0, 284]}	tensor(-1.1728)
{'layer0_row64': [0, 64]}	tensor(-1.1764)
{'layer0_row162': [0, 162]}	tensor(-1.1813)
{'layer0_row85': [0, 85]}	tensor(-1.1858)
{'layer0_row20': [0, 20]}	tensor(-1.1920)
{'layer0_row161': [0, 161]}	tensor(-1.1970)
{'layer0_row154': [0, 154]}	tensor(-1.2029)
{'layer0_row120': [0, 120]}	tensor(-1.2069)
{'layer1_row30': [1, 30]}	tensor(-1.2126)
{'layer0_row225': [0, 225]}	tensor(-1.2139)
{'layer0_row220': [0, 220]}	tensor(-1.2194)
{'layer0_row74': [0, 74]}	tensor(-1.2246)
{'layer0_row106': [0, 106]}	tensor(-1.2300)
{'layer0_row203': [0, 203]}	tensor(-1.2349)
{'layer0_row229': [0, 229]}	tensor(-1.2420)
{'layer0_row37': [0, 37]}	tensor(-1.2469)
{'layer0_row211': [0, 211]}	tensor(-1.2528)
{'layer0_row235': [0, 235]}	tensor(-1.2568)
{'layer0_row268': [0, 268]}	tensor(-1.2633)
{'layer0_row231': [0, 231]}	tensor(-1.2686)
{'layer1_row36': [1, 36]}	tensor(-1.2756)
{'layer0_row167': [0, 167]}	tensor(-1.2779)
{'layer0_row165': [0, 165]}	tensor(-1.2817)
