Action	Reward
{'layer0_row74': [0, 74]}	-100
{'layer0_row67': [0, 67]}	tensor(0.0923)
{'layer0_row93': [0, 93]}	tensor(0.0920)
{'layer0_row165': [0, 165]}	tensor(0.0920)
{'layer0_row14': [0, 14]}	tensor(0.0914)
{'layer1_row20': [1, 20]}	tensor(0.0918)
{'layer0_row89': [0, 89]}	tensor(0.0918)
{'layer0_row164': [0, 164]}	tensor(0.0916)
{'layer0_row188': [0, 188]}	tensor(0.0926)
{'layer1_row49': [1, 49]}	tensor(0.0921)
{'layer0_row239': [0, 239]}	tensor(0.0918)
{'layer0_row42': [0, 42]}	tensor(0.0921)
{'layer0_row137': [0, 137]}	tensor(0.0921)
{'layer0_row169': [0, 169]}	tensor(0.0923)
{'layer1_row97': [1, 97]}	tensor(0.0918)
{'layer1_row44': [1, 44]}	tensor(0.0925)
{'layer0_row211': [0, 211]}	tensor(0.0914)
{'layer1_row7': [1, 7]}	tensor(0.0916)
{'layer0_row135': [0, 135]}	tensor(0.0919)
{'layer0_row229': [0, 229]}	tensor(0.0913)
{'layer0_row288': [0, 288]}	tensor(0.0917)
{'layer0_row120': [0, 120]}	tensor(0.0917)
{'layer0_row118': [0, 118]}	tensor(0.0921)
{'layer0_row216': [0, 216]}	tensor(0.0916)
{'layer0_row1': [0, 1]}	tensor(0.0925)
{'layer0_row111': [0, 111]}	tensor(0.0926)
{'layer1_row76': [1, 76]}	tensor(0.0916)
{'layer1_row83': [1, 83]}	tensor(0.0927)
{'layer0_row237': [0, 237]}	tensor(0.0920)
{'layer1_row57': [1, 57]}	tensor(0.0920)
{'layer0_row201': [0, 201]}	tensor(0.0924)
{'layer0_row101': [0, 101]}	tensor(0.0928)
{'layer1_row9': [1, 9]}	tensor(0.0915)
{'layer0_row12': [0, 12]}	tensor(0.0915)
{'layer0_row168': [0, 168]}	tensor(0.0929)
{'layer0_row212': [0, 212]}	tensor(0.0919)
{'layer0_row73': [0, 73]}	tensor(0.0919)
{'layer0_row238': [0, 238]}	tensor(0.0916)
{'layer0_row219': [0, 219]}	tensor(0.0917)
{'layer0_row85': [0, 85]}	tensor(0.0915)
{'layer1_row38': [1, 38]}	tensor(0.0924)
{'layer0_row248': [0, 248]}	tensor(0.0924)
{'layer0_row3': [0, 3]}	tensor(0.0926)
{'layer0_row145': [0, 145]}	tensor(0.0919)
{'layer1_row59': [1, 59]}	tensor(0.0917)
{'layer0_row183': [0, 183]}	tensor(0.0925)
{'layer0_row232': [0, 232]}	tensor(0.0925)
{'layer0_row20': [0, 20]}	tensor(0.0916)
{'layer0_row95': [0, 95]}	tensor(0.0918)
{'layer0_row138': [0, 138]}	tensor(0.0915)
{'layer0_row33': [0, 33]}	tensor(0.0919)
{'layer0_row62': [0, 62]}	tensor(0.0923)
{'layer0_row228': [0, 228]}	tensor(0.0921)
{'layer0_row255': [0, 255]}	tensor(0.0921)
{'layer0_row279': [0, 279]}	tensor(0.0917)
{'layer0_row241': [0, 241]}	tensor(0.0917)
{'layer0_row96': [0, 96]}	tensor(0.0910)
{'layer0_row57': [0, 57]}	tensor(0.0912)
{'layer0_row190': [0, 190]}	tensor(0.0919)
{'layer1_row34': [1, 34]}	tensor(0.0921)
{'layer0_row163': [0, 163]}	tensor(0.0915)
{'layer0_row46': [0, 46]}	tensor(0.0919)
{'layer0_row140': [0, 140]}	tensor(0.0918)
{'layer0_row187': [0, 187]}	tensor(0.0923)
{'layer0_row97': [0, 97]}	tensor(0.0909)
{'layer0_row127': [0, 127]}	tensor(0.0917)
{'layer0_row293': [0, 293]}	tensor(0.0918)
{'layer0_row264': [0, 264]}	tensor(0.0914)
{'layer1_row66': [1, 66]}	tensor(0.0924)
{'layer0_row250': [0, 250]}	tensor(0.0918)
{'layer1_row26': [1, 26]}	tensor(0.0920)
{'layer1_row91': [1, 91]}	tensor(0.0930)
{'layer0_row109': [0, 109]}	tensor(0.0919)
{'layer0_row39': [0, 39]}	tensor(0.0918)
{'layer1_row95': [1, 95]}	tensor(0.0917)
{'layer0_row233': [0, 233]}	tensor(0.0921)
{'layer1_row80': [1, 80]}	tensor(0.0915)
{'layer0_row34': [0, 34]}	tensor(0.0915)
{'layer1_row31': [1, 31]}	tensor(0.0925)
{'layer0_row70': [0, 70]}	tensor(0.0921)
{'layer0_row54': [0, 54]}	tensor(0.0920)
{'layer0_row178': [0, 178]}	tensor(0.0914)
{'layer1_row65': [1, 65]}	tensor(0.0915)
{'layer0_row108': [0, 108]}	tensor(0.0921)
{'layer0_row215': [0, 215]}	tensor(0.0921)
{'layer1_row69': [1, 69]}	tensor(0.0914)
{'layer0_row125': [0, 125]}	tensor(0.0918)
{'layer0_row252': [0, 252]}	tensor(0.0923)
{'layer1_row51': [1, 51]}	tensor(0.0916)
{'layer0_row23': [0, 23]}	tensor(0.0918)
{'layer0_row156': [0, 156]}	tensor(0.0925)
{'layer0_row272': [0, 272]}	tensor(0.0917)
{'layer0_row271': [0, 271]}	tensor(0.0915)
{'layer1_row62': [1, 62]}	tensor(0.0911)
{'layer0_row213': [0, 213]}	tensor(0.0913)
{'layer0_row159': [0, 159]}	tensor(0.0919)
{'layer0_row297': [0, 297]}	tensor(0.0912)
{'layer0_row129': [0, 129]}	tensor(0.0923)
{'layer0_row205': [0, 205]}	tensor(0.0921)
{'layer0_row116': [0, 116]}	tensor(0.0929)
{'layer1_row12': [1, 12]}	tensor(0.0926)
{'layer0_row162': [0, 162]}	tensor(0.0919)
{'layer0_row35': [0, 35]}	tensor(0.0920)
{'layer0_row40': [0, 40]}	tensor(0.0921)
{'layer1_row16': [1, 16]}	tensor(0.0921)
{'layer0_row4': [0, 4]}	tensor(0.0925)
{'layer0_row192': [0, 192]}	tensor(0.0914)
{'layer1_row92': [1, 92]}	tensor(0.0917)
{'layer0_row204': [0, 204]}	tensor(0.0918)
{'layer0_row172': [0, 172]}	tensor(0.0919)
{'layer1_row13': [1, 13]}	tensor(0.0920)
{'layer0_row278': [0, 278]}	tensor(0.0916)
{'layer1_row0': [1, 0]}	tensor(0.0916)
{'layer0_row161': [0, 161]}	tensor(0.0921)
{'layer0_row69': [0, 69]}	tensor(0.0919)
{'layer0_row30': [0, 30]}	tensor(0.0913)
{'layer0_row276': [0, 276]}	tensor(0.0921)
{'layer0_row143': [0, 143]}	tensor(0.0923)
{'layer1_row78': [1, 78]}	tensor(0.0923)
{'layer1_row61': [1, 61]}	tensor(0.0918)
{'layer0_row27': [0, 27]}	tensor(0.0916)
{'layer0_row102': [0, 102]}	tensor(0.0917)
{'layer1_row29': [1, 29]}	tensor(0.0927)
{'layer0_row287': [0, 287]}	tensor(0.0919)
{'layer0_row265': [0, 265]}	tensor(0.0927)
{'layer0_row98': [0, 98]}	tensor(0.0923)
{'layer0_row209': [0, 209]}	tensor(0.0925)
{'layer1_row28': [1, 28]}	tensor(0.0931)
{'layer1_row25': [1, 25]}	tensor(0.0916)
{'layer0_row51': [0, 51]}	tensor(0.0927)
{'layer0_row154': [0, 154]}	tensor(0.0912)
{'layer1_row58': [1, 58]}	tensor(0.0927)
{'layer0_row176': [0, 176]}	tensor(0.0921)
{'layer0_row99': [0, 99]}	tensor(0.0924)
{'layer1_row46': [1, 46]}	tensor(0.0916)
{'layer1_row14': [1, 14]}	tensor(0.0920)
{'layer0_row48': [0, 48]}	tensor(0.0925)
{'layer1_row15': [1, 15]}	tensor(0.0917)
{'layer0_row218': [0, 218]}	tensor(0.0913)
{'layer1_row54': [1, 54]}	tensor(0.0924)
{'layer0_row82': [0, 82]}	tensor(0.0919)
{'layer1_row77': [1, 77]}	tensor(0.0919)
{'layer0_row210': [0, 210]}	tensor(0.0919)
{'layer0_row22': [0, 22]}	tensor(0.0917)
{'layer0_row26': [0, 26]}	tensor(0.0915)
{'layer0_row267': [0, 267]}	tensor(0.0924)
{'layer0_row68': [0, 68]}	tensor(0.0913)
{'layer1_row60': [1, 60]}	tensor(0.0917)
{'layer0_row94': [0, 94]}	tensor(0.0920)
{'layer1_row30': [1, 30]}	tensor(0.0915)
{'layer0_row296': [0, 296]}	tensor(0.0921)
{'layer0_row9': [0, 9]}	tensor(0.0920)
{'layer0_row246': [0, 246]}	tensor(0.0924)
{'layer0_row295': [0, 295]}	tensor(0.0919)
{'layer0_row193': [0, 193]}	tensor(0.0917)
{'layer0_row189': [0, 189]}	tensor(0.0921)
{'layer1_row86': [1, 86]}	tensor(0.0919)
{'layer0_row251': [0, 251]}	tensor(0.0918)
{'layer0_row126': [0, 126]}	tensor(0.0913)
