Action	Reward
{'layer1_row50': [1, 50]}	tensor(0.0928)
{'layer0_row265': [0, 265]}	tensor(0.0924)
{'layer1_row59': [1, 59]}	tensor(0.0923)
{'layer1_row15': [1, 15]}	tensor(0.0929)
{'layer0_row60': [0, 60]}	tensor(0.0927)
{'layer0_row52': [0, 52]}	tensor(0.0927)
{'layer1_row99': [1, 99]}	tensor(0.0930)
{'layer0_row297': [0, 297]}	tensor(0.0933)
{'layer0_row189': [0, 189]}	tensor(0.0924)
{'layer0_row74': [0, 74]}	tensor(0.0923)
{'layer0_row35': [0, 35]}	tensor(0.0922)
{'layer1_row33': [1, 33]}	tensor(0.0916)
{'layer1_row89': [1, 89]}	tensor(0.0922)
{'layer0_row21': [0, 21]}	tensor(0.0932)
{'layer1_row39': [1, 39]}	tensor(0.0930)
{'layer0_row243': [0, 243]}	tensor(0.0921)
{'layer0_row295': [0, 295]}	tensor(0.0938)
{'layer0_row78': [0, 78]}	tensor(0.0921)
{'layer0_row260': [0, 260]}	tensor(0.0922)
{'layer0_row34': [0, 34]}	tensor(0.0928)
{'layer0_row151': [0, 151]}	tensor(0.0927)
{'layer0_row3': [0, 3]}	tensor(0.0921)
{'layer0_row70': [0, 70]}	tensor(0.0923)
{'layer1_row31': [1, 31]}	tensor(0.0926)
{'layer0_row171': [0, 171]}	tensor(0.0922)
{'layer0_row28': [0, 28]}	tensor(0.0919)
{'layer1_row77': [1, 77]}	tensor(0.0928)
{'layer0_row0': [0, 0]}	tensor(0.0921)
{'layer0_row193': [0, 193]}	tensor(0.0934)
{'layer0_row32': [0, 32]}	tensor(0.0930)
{'layer1_row84': [1, 84]}	tensor(0.0928)
{'layer0_row104': [0, 104]}	tensor(0.0932)
{'layer0_row296': [0, 296]}	tensor(0.0919)
{'layer0_row94': [0, 94]}	tensor(0.0923)
{'layer0_row158': [0, 158]}	tensor(0.0924)
{'layer0_row1': [0, 1]}	tensor(0.0936)
{'layer0_row252': [0, 252]}	tensor(0.0927)
{'layer1_row73': [1, 73]}	tensor(0.0919)
{'layer0_row283': [0, 283]}	tensor(0.0926)
{'layer1_row9': [1, 9]}	tensor(0.0926)
{'layer0_row77': [0, 77]}	tensor(0.0921)
{'layer0_row89': [0, 89]}	tensor(0.0928)
{'layer0_row117': [0, 117]}	tensor(0.0922)
{'layer1_row65': [1, 65]}	tensor(0.0930)
{'layer0_row61': [0, 61]}	tensor(0.0933)
{'layer0_row216': [0, 216]}	tensor(0.0915)
{'layer1_row87': [1, 87]}	tensor(0.0921)
{'layer0_row241': [0, 241]}	tensor(0.0923)
{'layer0_row242': [0, 242]}	tensor(0.0924)
{'layer0_row187': [0, 187]}	tensor(0.0927)
{'layer0_row196': [0, 196]}	tensor(0.0928)
{'layer1_row96': [1, 96]}	tensor(0.0915)
{'layer0_row107': [0, 107]}	tensor(0.0923)
{'layer0_row130': [0, 130]}	tensor(0.0923)
{'layer0_row273': [0, 273]}	tensor(0.0919)
{'layer1_row88': [1, 88]}	tensor(0.0926)
{'layer1_row56': [1, 56]}	tensor(0.0918)
{'layer0_row19': [0, 19]}	tensor(0.0920)
{'layer0_row182': [0, 182]}	tensor(0.0928)
{'layer0_row31': [0, 31]}	tensor(0.0921)
{'layer0_row101': [0, 101]}	tensor(0.0928)
{'layer1_row92': [1, 92]}	tensor(0.0926)
{'layer0_row98': [0, 98]}	tensor(0.0921)
{'layer0_row30': [0, 30]}	tensor(0.0921)
{'layer0_row154': [0, 154]}	tensor(0.0922)
{'layer0_row201': [0, 201]}	tensor(0.0927)
{'layer0_row150': [0, 150]}	tensor(0.0928)
{'layer0_row204': [0, 204]}	tensor(0.0915)
{'layer1_row34': [1, 34]}	tensor(0.0928)
{'layer0_row272': [0, 272]}	tensor(0.0920)
{'layer0_row238': [0, 238]}	tensor(0.0922)
{'layer0_row39': [0, 39]}	tensor(0.0926)
{'layer0_row208': [0, 208]}	tensor(0.0924)
{'layer0_row266': [0, 266]}	tensor(0.0924)
{'layer0_row274': [0, 274]}	tensor(0.0922)
{'layer0_row164': [0, 164]}	tensor(0.0929)
{'layer1_row72': [1, 72]}	tensor(0.0918)
{'layer1_row78': [1, 78]}	tensor(0.0927)
{'layer0_row213': [0, 213]}	tensor(0.0922)
{'layer0_row87': [0, 87]}	tensor(0.0927)
{'layer1_row71': [1, 71]}	tensor(0.0926)
{'layer1_row7': [1, 7]}	tensor(0.0918)
{'layer0_row286': [0, 286]}	tensor(0.0924)
{'layer0_row292': [0, 292]}	tensor(0.0927)
{'layer0_row248': [0, 248]}	tensor(0.0917)
{'layer1_row32': [1, 32]}	tensor(0.0922)
{'layer0_row112': [0, 112]}	tensor(0.0915)
{'layer0_row68': [0, 68]}	tensor(0.0921)
{'layer1_row60': [1, 60]}	tensor(0.0928)
{'layer0_row282': [0, 282]}	tensor(0.0919)
{'layer1_row97': [1, 97]}	tensor(0.0928)
{'layer0_row144': [0, 144]}	tensor(0.0921)
{'layer0_row121': [0, 121]}	tensor(0.0918)
{'layer0_row138': [0, 138]}	tensor(0.0931)
{'layer0_row96': [0, 96]}	tensor(0.0922)
{'layer0_row163': [0, 163]}	tensor(0.0926)
{'layer0_row230': [0, 230]}	tensor(0.0922)
{'layer0_row275': [0, 275]}	tensor(0.0918)
{'layer0_row170': [0, 170]}	tensor(0.0928)
{'layer1_row95': [1, 95]}	tensor(0.0924)
{'layer0_row173': [0, 173]}	tensor(0.0923)
{'layer0_row13': [0, 13]}	tensor(0.0929)
{'layer0_row105': [0, 105]}	tensor(0.0928)
{'layer1_row12': [1, 12]}	tensor(0.0919)
{'layer1_row2': [1, 2]}	tensor(0.0922)
{'layer0_row206': [0, 206]}	tensor(0.0918)
{'layer0_row293': [0, 293]}	tensor(0.0924)
{'layer0_row132': [0, 132]}	tensor(0.0929)
{'layer1_row79': [1, 79]}	tensor(0.0929)
