Action	Reward
{'layer0_row21': [0, 21]}	tensor(-0.9010)
{'layer0_row221': [0, 221]}	tensor(-0.9042)
{'layer0_row135': [0, 135]}	tensor(-0.9077)
{'layer0_row4': [0, 4]}	tensor(-0.9110)
{'layer0_row57': [0, 57]}	tensor(-0.9134)
{'layer0_row42': [0, 42]}	tensor(-0.9165)
{'layer1_row25': [1, 25]}	tensor(-0.9195)
{'layer0_row280': [0, 280]}	tensor(-0.9209)
{'layer0_row248': [0, 248]}	tensor(-0.9240)
{'layer0_row169': [0, 169]}	tensor(-0.9273)
{'layer1_row40': [1, 40]}	tensor(-0.9303)
{'layer0_row141': [0, 141]}	tensor(-0.9311)
{'layer0_row232': [0, 232]}	tensor(-0.9347)
{'layer0_row23': [0, 23]}	tensor(-0.9368)
{'layer0_row41': [0, 41]}	tensor(-0.9416)
{'layer0_row292': [0, 292]}	tensor(-0.9436)
{'layer0_row45': [0, 45]}	tensor(-0.9478)
{'layer0_row166': [0, 166]}	tensor(-0.9505)
{'layer0_row174': [0, 174]}	tensor(-0.9533)
{'layer0_row182': [0, 182]}	tensor(-0.9577)
{'layer1_row18': [1, 18]}	tensor(-0.9602)
{'layer1_row39': [1, 39]}	tensor(-0.9625)
{'layer0_row134': [0, 134]}	tensor(-0.9632)
{'layer0_row230': [0, 230]}	tensor(-0.9666)
{'layer0_row9': [0, 9]}	tensor(-0.9695)
{'layer0_row69': [0, 69]}	tensor(-0.9744)
{'layer0_row249': [0, 249]}	tensor(-0.9759)
{'layer0_row94': [0, 94]}	tensor(-0.9798)
{'layer0_row263': [0, 263]}	tensor(-0.9849)
{'layer1_row59': [1, 59]}	tensor(-0.9882)
{'layer0_row175': [0, 175]}	tensor(-0.9888)
{'layer0_row18': [0, 18]}	tensor(-0.9928)
{'layer0_row274': [0, 274]}	tensor(-0.9960)
{'layer0_row27': [0, 27]}	tensor(-1.0006)
{'layer0_row214': [0, 214]}	tensor(-1.0031)
{'layer1_row53': [1, 53]}	tensor(-1.0071)
{'layer0_row52': [0, 52]}	tensor(-1.0088)
{'layer0_row179': [0, 179]}	tensor(-1.0122)
{'layer0_row5': [0, 5]}	tensor(-1.0165)
{'layer0_row158': [0, 158]}	tensor(-1.0194)
{'layer0_row164': [0, 164]}	tensor(-1.0228)
{'layer0_row246': [0, 246]}	tensor(-1.0273)
{'layer0_row228': [0, 228]}	tensor(-1.0300)
{'layer0_row190': [0, 190]}	tensor(-1.0354)
{'layer0_row51': [0, 51]}	tensor(-1.0397)
{'layer0_row122': [0, 122]}	tensor(-1.0430)
{'layer0_row257': [0, 257]}	tensor(-1.0469)
{'layer0_row192': [0, 192]}	tensor(-1.0509)
{'layer1_row5': [1, 5]}	tensor(-1.0542)
{'layer1_row50': [1, 50]}	tensor(-1.0569)
{'layer1_row46': [1, 46]}	tensor(-1.0574)
{'layer1_row57': [1, 57]}	tensor(-1.0588)
{'layer1_row94': [1, 94]}	tensor(-1.0603)
{'layer0_row112': [0, 112]}	tensor(-1.0610)
{'layer0_row34': [0, 34]}	tensor(-1.0642)
{'layer0_row38': [0, 38]}	tensor(-1.0693)
{'layer1_row93': [1, 93]}	tensor(-1.0747)
{'layer1_row38': [1, 38]}	tensor(-1.0747)
{'layer0_row264': [0, 264]}	tensor(-1.0758)
{'layer1_row51': [1, 51]}	tensor(-1.0809)
{'layer1_row47': [1, 47]}	tensor(-1.0806)
{'layer0_row152': [0, 152]}	tensor(-1.0837)
{'layer0_row176': [0, 176]}	tensor(-1.0877)
{'layer1_row64': [1, 64]}	tensor(-1.0907)
{'layer0_row91': [0, 91]}	tensor(-1.0923)
{'layer0_row43': [0, 43]}	tensor(-1.0973)
{'layer0_row243': [0, 243]}	tensor(-1.1014)
{'layer0_row217': [0, 217]}	tensor(-1.1063)
{'layer0_row99': [0, 99]}	tensor(-1.1101)
{'layer0_row53': [0, 53]}	tensor(-1.1151)
{'layer0_row237': [0, 237]}	tensor(-1.1199)
{'layer0_row211': [0, 211]}	tensor(-1.1238)
{'layer0_row143': [0, 143]}	tensor(-1.1281)
{'layer0_row293': [0, 293]}	tensor(-1.1335)
{'layer0_row271': [0, 271]}	tensor(-1.1379)
{'layer0_row251': [0, 251]}	tensor(-1.1435)
{'layer0_row120': [0, 120]}	tensor(-1.1472)
{'layer0_row299': [0, 299]}	tensor(-1.1524)
{'layer0_row77': [0, 77]}	tensor(-1.1564)
{'layer0_row68': [0, 68]}	tensor(-1.1625)
{'layer0_row198': [0, 198]}	tensor(-1.1665)
{'layer0_row2': [0, 2]}	tensor(-1.1713)
{'layer1_row67': [1, 67]}	tensor(-1.1762)
{'layer1_row72': [1, 72]}	tensor(-1.1778)
{'layer0_row163': [0, 163]}	tensor(-1.1804)
{'layer0_row149': [0, 149]}	tensor(-1.1849)
{'layer1_row92': [1, 92]}	tensor(-1.1879)
{'layer0_row259': [0, 259]}	tensor(-1.1902)
{'layer0_row253': [0, 253]}	tensor(-1.1964)
{'layer0_row244': [0, 244]}	tensor(-1.2013)
{'layer1_row77': [1, 77]}	tensor(-1.2059)
{'layer0_row258': [0, 258]}	tensor(-1.2083)
