Action	Reward
{'layer0_row1': [0, 1]}	tensor(0.1002)
{'layer0_row231': [0, 231]}	tensor(0.1011)
{'layer0_row173': [0, 173]}	tensor(0.1008)
{'layer0_row257': [0, 257]}	tensor(0.1008)
{'layer1_row7': [1, 7]}	tensor(0.1006)
{'layer1_row78': [1, 78]}	tensor(0.1011)
{'layer0_row59': [0, 59]}	tensor(0.1005)
{'layer0_row49': [0, 49]}	tensor(0.1007)
{'layer0_row147': [0, 147]}	tensor(0.1005)
{'layer0_row143': [0, 143]}	tensor(0.1011)
{'layer0_row252': [0, 252]}	tensor(0.1001)
{'layer1_row70': [1, 70]}	tensor(0.1010)
{'layer1_row35': [1, 35]}	tensor(0.1009)
{'layer0_row89': [0, 89]}	tensor(0.1016)
{'layer1_row33': [1, 33]}	tensor(0.1008)
{'layer0_row116': [0, 116]}	tensor(0.1012)
{'layer0_row164': [0, 164]}	tensor(0.1004)
{'layer1_row22': [1, 22]}	tensor(0.1004)
{'layer0_row24': [0, 24]}	tensor(0.1001)
{'layer1_row44': [1, 44]}	tensor(0.1012)
{'layer1_row13': [1, 13]}	tensor(0.1013)
{'layer0_row298': [0, 298]}	tensor(0.1011)
{'layer0_row248': [0, 248]}	tensor(0.1011)
{'layer0_row199': [0, 199]}	tensor(0.1013)
{'layer0_row174': [0, 174]}	tensor(0.1007)
{'layer1_row77': [1, 77]}	tensor(0.1010)
{'layer0_row198': [0, 198]}	tensor(0.1002)
{'layer0_row38': [0, 38]}	tensor(0.1010)
{'layer0_row104': [0, 104]}	tensor(0.1006)
{'layer1_row63': [1, 63]}	tensor(0.1010)
{'layer1_row40': [1, 40]}	tensor(0.1019)
{'layer0_row150': [0, 150]}	tensor(0.0998)
{'layer1_row72': [1, 72]}	tensor(0.1013)
{'layer1_row54': [1, 54]}	tensor(0.1001)
{'layer0_row99': [0, 99]}	tensor(0.1007)
{'layer1_row26': [1, 26]}	tensor(0.1009)
{'layer0_row109': [0, 109]}	tensor(0.1012)
{'layer1_row65': [1, 65]}	tensor(0.1008)
{'layer0_row108': [0, 108]}	tensor(0.1007)
{'layer1_row5': [1, 5]}	tensor(0.1014)
{'layer0_row225': [0, 225]}	tensor(0.0999)
{'layer0_row256': [0, 256]}	tensor(0.1004)
{'layer0_row160': [0, 160]}	tensor(0.1016)
{'layer0_row177': [0, 177]}	tensor(0.1008)
{'layer0_row66': [0, 66]}	tensor(0.1009)
{'layer0_row175': [0, 175]}	tensor(0.1015)
{'layer1_row81': [1, 81]}	tensor(0.1002)
