Action	Reward
{'layer0_row38': [0, 38]}	tensor(-0.9033)
{'layer1_row5': [1, 5]}	tensor(-0.8991)
{'layer0_row158': [0, 158]}	tensor(-0.8986)
{'layer0_row228': [0, 228]}	tensor(-0.8955)
{'layer0_row190': [0, 190]}	tensor(-0.8922)
{'layer0_row257': [0, 257]}	tensor(-0.8897)
{'layer0_row292': [0, 292]}	tensor(-0.8873)
{'layer0_row192': [0, 192]}	tensor(-0.8838)
{'layer1_row38': [1, 38]}	tensor(-0.8808)
{'layer0_row164': [0, 164]}	tensor(-0.8805)
{'layer1_row47': [1, 47]}	tensor(-0.8766)
{'layer0_row249': [0, 249]}	tensor(-0.8757)
{'layer0_row246': [0, 246]}	tensor(-0.8724)
{'layer0_row43': [0, 43]}	tensor(-0.8700)
{'layer0_row53': [0, 53]}	tensor(-0.8665)
{'layer0_row99': [0, 99]}	tensor(-0.8635)
{'layer0_row251': [0, 251]}	tensor(-0.8607)
{'layer0_row217': [0, 217]}	tensor(-0.8569)
{'layer0_row271': [0, 271]}	tensor(-0.8547)
{'layer0_row122': [0, 122]}	tensor(-0.8516)
{'layer1_row64': [1, 64]}	tensor(-0.8475)
{'layer0_row244': [0, 244]}	tensor(-0.8481)
{'layer0_row209': [0, 209]}	tensor(-0.8448)
{'layer1_row72': [1, 72]}	tensor(-0.8418)
{'layer0_row169': [0, 169]}	tensor(-0.8411)
{'layer0_row198': [0, 198]}	tensor(-0.8370)
{'layer0_row2': [0, 2]}	tensor(-0.8348)
{'layer0_row68': [0, 68]}	tensor(-0.8322)
{'layer1_row67': [1, 67]}	tensor(-0.8292)
{'layer0_row259': [0, 259]}	tensor(-0.8285)
{'layer0_row253': [0, 253]}	tensor(-0.8250)
{'layer1_row54': [1, 54]}	tensor(-0.8223)
{'layer0_row9': [0, 9]}	tensor(-0.8209)
{'layer0_row280': [0, 280]}	tensor(-0.8180)
{'layer0_row34': [0, 34]}	tensor(-0.8147)
{'layer0_row230': [0, 230]}	tensor(-0.8125)
{'layer0_row243': [0, 243]}	tensor(-0.8088)
{'layer0_row289': [0, 289]}	tensor(-0.8063)
{'layer1_row86': [1, 86]}	tensor(-0.8035)
{'layer0_row94': [0, 94]}	tensor(-0.8019)
{'layer0_row77': [0, 77]}	tensor(-0.7990)
{'layer0_row55': [0, 55]}	tensor(-0.7959)
{'layer0_row29': [0, 29]}	tensor(-0.7938)
{'layer1_row22': [1, 22]}	tensor(-0.7904)
{'layer1_row31': [1, 31]}	tensor(-0.7894)
{'layer0_row240': [0, 240]}	tensor(-0.7880)
{'layer0_row59': [0, 59]}	tensor(-0.7858)
{'layer0_row97': [0, 97]}	tensor(-0.7826)
{'layer0_row66': [0, 66]}	tensor(-0.7805)
{'layer0_row45': [0, 45]}	tensor(-0.7768)
{'layer0_row227': [0, 227]}	tensor(-0.7741)
{'layer0_row213': [0, 213]}	tensor(-0.7711)
{'layer0_row175': [0, 175]}	tensor(-0.7670)
{'layer0_row143': [0, 143]}	tensor(-0.7650)
{'layer0_row144': [0, 144]}	tensor(-0.7621)
{'layer1_row51': [1, 51]}	tensor(-0.7591)
{'layer1_row35': [1, 35]}	tensor(-0.7585)
{'layer1_row74': [1, 74]}	tensor(-0.7570)
{'layer0_row88': [0, 88]}	tensor(-0.7565)
{'layer1_row85': [1, 85]}	tensor(-0.7530)
{'layer0_row180': [0, 180]}	tensor(-0.7517)
{'layer0_row31': [0, 31]}	tensor(-0.7499)
{'layer0_row26': [0, 26]}	tensor(-0.7465)
{'layer0_row72': [0, 72]}	tensor(-0.7441)
{'layer0_row130': [0, 130]}	tensor(-0.7403)
{'layer0_row123': [0, 123]}	tensor(-0.7375)
{'layer0_row248': [0, 248]}	tensor(-0.7348)
{'layer0_row127': [0, 127]}	tensor(-0.7313)
{'layer0_row75': [0, 75]}	tensor(-0.7286)
{'layer1_row33': [1, 33]}	tensor(-0.7254)
{'layer0_row65': [0, 65]}	tensor(-0.7238)
