Action	Reward
{'layer0_row250': [0, 250]}	-100
{'layer0_row119': [0, 119]}	tensor(0.0966)
{'layer1_row43': [1, 43]}	tensor(0.0962)
{'layer0_row135': [0, 135]}	tensor(0.0958)
{'layer0_row38': [0, 38]}	tensor(0.0965)
{'layer0_row253': [0, 253]}	tensor(0.0961)
{'layer1_row23': [1, 23]}	tensor(0.0950)
{'layer0_row240': [0, 240]}	tensor(0.0962)
{'layer0_row104': [0, 104]}	tensor(0.0950)
{'layer0_row276': [0, 276]}	tensor(0.0948)
{'layer0_row59': [0, 59]}	tensor(0.0943)
{'layer0_row173': [0, 173]}	tensor(0.0939)
{'layer0_row214': [0, 214]}	tensor(0.0944)
{'layer0_row100': [0, 100]}	tensor(0.0923)
{'layer0_row51': [0, 51]}	tensor(0.0925)
{'layer0_row29': [0, 29]}	tensor(0.0925)
{'layer0_row237': [0, 237]}	tensor(0.0927)
{'layer0_row21': [0, 21]}	tensor(0.0914)
{'layer1_row16': [1, 16]}	tensor(0.0919)
{'layer0_row183': [0, 183]}	tensor(0.0920)
{'layer0_row122': [0, 122]}	tensor(0.0908)
{'layer0_row224': [0, 224]}	tensor(0.0910)
{'layer1_row57': [1, 57]}	tensor(0.0901)
{'layer0_row267': [0, 267]}	tensor(0.0915)
{'layer1_row83': [1, 83]}	tensor(0.0907)
{'layer0_row256': [0, 256]}	tensor(0.0899)
{'layer0_row39': [0, 39]}	tensor(0.0899)
{'layer0_row89': [0, 89]}	tensor(0.0893)
{'layer0_row182': [0, 182]}	tensor(0.0890)
{'layer1_row84': [1, 84]}	tensor(0.0883)
{'layer1_row36': [1, 36]}	tensor(0.0885)
{'layer0_row231': [0, 231]}	tensor(0.0881)
{'layer0_row126': [0, 126]}	tensor(0.0875)
{'layer0_row6': [0, 6]}	tensor(0.0874)
{'layer0_row94': [0, 94]}	tensor(0.0881)
{'layer0_row64': [0, 64]}	tensor(0.0872)
{'layer0_row154': [0, 154]}	tensor(0.0872)
{'layer1_row86': [1, 86]}	tensor(0.0868)
{'layer1_row79': [1, 79]}	tensor(0.0865)
{'layer0_row46': [0, 46]}	tensor(0.0869)
{'layer0_row44': [0, 44]}	tensor(0.0863)
{'layer0_row219': [0, 219]}	tensor(0.0857)
{'layer0_row207': [0, 207]}	tensor(0.0857)
{'layer0_row2': [0, 2]}	tensor(0.0849)
{'layer1_row45': [1, 45]}	tensor(0.0854)
{'layer1_row90': [1, 90]}	tensor(0.0853)
{'layer0_row125': [0, 125]}	tensor(0.0848)
{'layer0_row196': [0, 196]}	tensor(0.0855)
{'layer0_row257': [0, 257]}	tensor(0.0844)
{'layer0_row263': [0, 263]}	tensor(0.0838)
{'layer0_row226': [0, 226]}	tensor(0.0838)
{'layer0_row86': [0, 86]}	tensor(0.0832)
{'layer1_row77': [1, 77]}	tensor(0.0827)
{'layer0_row97': [0, 97]}	tensor(0.0829)
{'layer0_row112': [0, 112]}	tensor(0.0832)
{'layer0_row156': [0, 156]}	tensor(0.0818)
{'layer1_row46': [1, 46]}	tensor(0.0818)
{'layer0_row235': [0, 235]}	tensor(0.0817)
{'layer0_row212': [0, 212]}	tensor(0.0811)
{'layer0_row127': [0, 127]}	tensor(0.0812)
{'layer0_row192': [0, 192]}	tensor(0.0812)
{'layer0_row246': [0, 246]}	tensor(0.0803)
{'layer0_row295': [0, 295]}	tensor(0.0791)
{'layer0_row163': [0, 163]}	tensor(0.0796)
{'layer0_row266': [0, 266]}	tensor(0.0797)
{'layer1_row25': [1, 25]}	tensor(0.0790)
{'layer0_row171': [0, 171]}	tensor(0.0788)
{'layer0_row124': [0, 124]}	tensor(0.0787)
{'layer1_row33': [1, 33]}	tensor(0.0784)
{'layer0_row225': [0, 225]}	tensor(0.0781)
{'layer1_row60': [1, 60]}	tensor(0.0778)
{'layer0_row45': [0, 45]}	tensor(0.0779)
{'layer0_row20': [0, 20]}	tensor(0.0775)
{'layer0_row83': [0, 83]}	tensor(0.0771)
{'layer1_row19': [1, 19]}	tensor(0.0768)
{'layer0_row150': [0, 150]}	tensor(0.0765)
{'layer0_row159': [0, 159]}	tensor(0.0769)
{'layer0_row230': [0, 230]}	tensor(0.0763)
{'layer1_row67': [1, 67]}	tensor(0.0753)
{'layer0_row143': [0, 143]}	tensor(0.0755)
{'layer0_row74': [0, 74]}	tensor(0.0756)
{'layer0_row179': [0, 179]}	tensor(0.0753)
{'layer1_row5': [1, 5]}	tensor(0.0747)
{'layer0_row199': [0, 199]}	tensor(0.0751)
{'layer1_row52': [1, 52]}	tensor(0.0745)
{'layer0_row176': [0, 176]}	tensor(0.0747)
{'layer0_row245': [0, 245]}	tensor(0.0742)
{'layer0_row26': [0, 26]}	tensor(0.0740)
{'layer0_row281': [0, 281]}	tensor(0.0740)
{'layer1_row99': [1, 99]}	tensor(0.0727)
{'layer0_row62': [0, 62]}	tensor(0.0730)
{'layer0_row211': [0, 211]}	tensor(0.0733)
{'layer0_row76': [0, 76]}	tensor(0.0723)
{'layer0_row191': [0, 191]}	tensor(0.0721)
{'layer0_row204': [0, 204]}	tensor(0.0717)
{'layer0_row284': [0, 284]}	tensor(0.0710)
{'layer1_row10': [1, 10]}	tensor(0.0710)
{'layer1_row44': [1, 44]}	tensor(0.0708)
{'layer0_row63': [0, 63]}	tensor(0.0707)
{'layer1_row20': [1, 20]}	tensor(0.0703)
{'layer0_row155': [0, 155]}	tensor(0.0714)
{'layer1_row53': [1, 53]}	tensor(0.0703)
{'layer0_row37': [0, 37]}	tensor(0.0701)
{'layer0_row54': [0, 54]}	tensor(0.0701)
{'layer0_row82': [0, 82]}	tensor(0.0696)
{'layer1_row42': [1, 42]}	tensor(0.0694)
{'layer0_row123': [0, 123]}	tensor(0.0694)
{'layer1_row51': [1, 51]}	tensor(0.0687)
{'layer1_row74': [1, 74]}	tensor(0.0688)
{'layer0_row5': [0, 5]}	tensor(0.0690)
{'layer0_row242': [0, 242]}	tensor(0.0683)
{'layer0_row162': [0, 162]}	tensor(0.0682)
{'layer0_row165': [0, 165]}	tensor(0.0674)
{'layer1_row26': [1, 26]}	tensor(0.0679)
{'layer0_row28': [0, 28]}	tensor(0.0669)
{'layer1_row65': [1, 65]}	tensor(0.0677)
{'layer1_row89': [1, 89]}	tensor(0.0672)
{'layer0_row222': [0, 222]}	tensor(0.0668)
{'layer0_row220': [0, 220]}	tensor(0.0669)
{'layer0_row197': [0, 197]}	tensor(0.0666)
{'layer0_row190': [0, 190]}	tensor(0.0667)
{'layer0_row66': [0, 66]}	tensor(0.0654)
{'layer0_row9': [0, 9]}	tensor(0.0653)
{'layer0_row290': [0, 290]}	tensor(0.0654)
{'layer0_row19': [0, 19]}	tensor(0.0645)
{'layer1_row73': [1, 73]}	tensor(0.0643)
{'layer0_row158': [0, 158]}	tensor(0.0645)
{'layer0_row208': [0, 208]}	tensor(0.0641)
{'layer0_row85': [0, 85]}	tensor(0.0637)
{'layer0_row103': [0, 103]}	tensor(0.0635)
{'layer0_row145': [0, 145]}	tensor(0.0629)
{'layer0_row118': [0, 118]}	tensor(0.0628)
{'layer0_row42': [0, 42]}	tensor(0.0627)
{'layer0_row187': [0, 187]}	tensor(0.0623)
{'layer0_row261': [0, 261]}	tensor(0.0614)
{'layer0_row53': [0, 53]}	tensor(0.0615)
{'layer1_row48': [1, 48]}	tensor(0.0608)
{'layer1_row81': [1, 81]}	tensor(0.0613)
{'layer1_row12': [1, 12]}	tensor(0.0607)
{'layer1_row0': [1, 0]}	tensor(0.0610)
{'layer1_row91': [1, 91]}	tensor(0.0606)
{'layer0_row291': [0, 291]}	tensor(0.0606)
{'layer0_row201': [0, 201]}	tensor(0.0609)
{'layer1_row17': [1, 17]}	tensor(0.0600)
{'layer0_row277': [0, 277]}	tensor(0.0600)
{'layer0_row244': [0, 244]}	tensor(0.0595)
{'layer0_row142': [0, 142]}	tensor(0.0599)
{'layer1_row63': [1, 63]}	tensor(0.0590)
{'layer0_row206': [0, 206]}	tensor(0.0597)
{'layer0_row175': [0, 175]}	tensor(0.0585)
{'layer0_row133': [0, 133]}	tensor(0.0585)
{'layer1_row98': [1, 98]}	tensor(0.0583)
{'layer0_row248': [0, 248]}	tensor(0.0578)
{'layer0_row268': [0, 268]}	tensor(0.0585)
{'layer0_row52': [0, 52]}	tensor(0.0577)
{'layer0_row168': [0, 168]}	tensor(0.0573)
{'layer0_row98': [0, 98]}	tensor(0.0571)
{'layer0_row92': [0, 92]}	tensor(0.0564)
{'layer0_row71': [0, 71]}	tensor(0.0559)
{'layer0_row138': [0, 138]}	tensor(0.0561)
{'layer0_row113': [0, 113]}	tensor(0.0557)
{'layer1_row30': [1, 30]}	tensor(0.0556)
{'layer0_row8': [0, 8]}	tensor(0.0552)
{'layer0_row285': [0, 285]}	tensor(0.0551)
{'layer0_row48': [0, 48]}	tensor(0.0548)
{'layer0_row265': [0, 265]}	tensor(0.0541)
{'layer0_row217': [0, 217]}	tensor(0.0539)
{'layer0_row7': [0, 7]}	tensor(0.0537)
{'layer0_row32': [0, 32]}	tensor(0.0534)
{'layer0_row139': [0, 139]}	tensor(0.0532)
{'layer0_row12': [0, 12]}	tensor(0.0530)
{'layer0_row247': [0, 247]}	tensor(0.0523)
{'layer0_row249': [0, 249]}	tensor(0.0522)
{'layer0_row157': [0, 157]}	tensor(0.0522)
{'layer0_row128': [0, 128]}	tensor(0.0516)
{'layer1_row40': [1, 40]}	tensor(0.0513)
{'layer0_row180': [0, 180]}	tensor(0.0513)
{'layer0_row148': [0, 148]}	tensor(0.0511)
{'layer0_row43': [0, 43]}	tensor(0.0506)
