Action	Reward
{'layer0_row190': [0, 190]}	tensor(-0.9082)
{'layer0_row122': [0, 122]}	tensor(-0.9049)
{'layer0_row228': [0, 228]}	tensor(-0.9018)
{'layer0_row158': [0, 158]}	tensor(-0.8985)
{'layer0_row246': [0, 246]}	tensor(-0.8950)
{'layer0_row257': [0, 257]}	tensor(-0.8928)
{'layer0_row292': [0, 292]}	tensor(-0.8893)
{'layer0_row192': [0, 192]}	tensor(-0.8865)
{'layer1_row5': [1, 5]}	tensor(-0.8834)
{'layer0_row94': [0, 94]}	tensor(-0.8832)
{'layer0_row38': [0, 38]}	tensor(-0.8801)
{'layer0_row164': [0, 164]}	tensor(-0.8761)
{'layer1_row47': [1, 47]}	tensor(-0.8730)
{'layer1_row64': [1, 64]}	tensor(-0.8718)
{'layer0_row43': [0, 43]}	tensor(-0.8716)
{'layer0_row249': [0, 249]}	tensor(-0.8685)
{'layer1_row38': [1, 38]}	tensor(-0.8654)
{'layer0_row169': [0, 169]}	tensor(-0.8644)
{'layer0_row53': [0, 53]}	tensor(-0.8616)
{'layer0_row77': [0, 77]}	tensor(-0.8588)
{'layer0_row251': [0, 251]}	tensor(-0.8555)
{'layer0_row271': [0, 271]}	tensor(-0.8522)
{'layer0_row198': [0, 198]}	tensor(-0.8491)
{'layer0_row2': [0, 2]}	tensor(-0.8467)
{'layer0_row68': [0, 68]}	tensor(-0.8433)
{'layer0_row9': [0, 9]}	tensor(-0.8411)
{'layer0_row99': [0, 99]}	tensor(-0.8366)
{'layer1_row72': [1, 72]}	tensor(-0.8343)
{'layer1_row67': [1, 67]}	tensor(-0.8335)
{'layer0_row259': [0, 259]}	tensor(-0.8328)
{'layer0_row253': [0, 253]}	tensor(-0.8295)
{'layer0_row217': [0, 217]}	tensor(-0.8260)
{'layer0_row244': [0, 244]}	tensor(-0.8235)
{'layer0_row34': [0, 34]}	tensor(-0.8198)
{'layer0_row55': [0, 55]}	tensor(-0.8175)
{'layer0_row280': [0, 280]}	tensor(-0.8139)
{'layer0_row243': [0, 243]}	tensor(-0.8114)
{'layer0_row209': [0, 209]}	tensor(-0.8090)
{'layer1_row54': [1, 54]}	tensor(-0.8058)
{'layer1_row86': [1, 86]}	tensor(-0.8045)
{'layer1_row80': [1, 80]}	tensor(-0.8039)
{'layer0_row289': [0, 289]}	tensor(-0.8025)
{'layer0_row230': [0, 230]}	tensor(-0.7999)
{'layer1_row31': [1, 31]}	tensor(-0.7970)
{'layer0_row240': [0, 240]}	tensor(-0.7959)
{'layer0_row29': [0, 29]}	tensor(-0.7931)
{'layer1_row22': [1, 22]}	tensor(-0.7904)
{'layer0_row59': [0, 59]}	tensor(-0.7892)
{'layer0_row175': [0, 175]}	tensor(-0.7858)
{'layer0_row97': [0, 97]}	tensor(-0.7825)
{'layer1_row51': [1, 51]}	tensor(-0.7803)
{'layer0_row143': [0, 143]}	tensor(-0.7787)
{'layer0_row66': [0, 66]}	tensor(-0.7759)
{'layer0_row45': [0, 45]}	tensor(-0.7726)
{'layer0_row227': [0, 227]}	tensor(-0.7702)
{'layer0_row144': [0, 144]}	tensor(-0.7679)
{'layer0_row213': [0, 213]}	tensor(-0.7647)
{'layer1_row74': [1, 74]}	tensor(-0.7607)
{'layer1_row35': [1, 35]}	tensor(-0.7605)
{'layer0_row88': [0, 88]}	tensor(-0.7597)
{'layer0_row75': [0, 75]}	tensor(-0.7560)
{'layer0_row26': [0, 26]}	tensor(-0.7531)
{'layer0_row180': [0, 180]}	tensor(-0.7504)
{'layer0_row72': [0, 72]}	tensor(-0.7478)
{'layer0_row31': [0, 31]}	tensor(-0.7448)
{'layer1_row85': [1, 85]}	tensor(-0.7410)
{'layer1_row26': [1, 26]}	tensor(-0.7404)
{'layer0_row130': [0, 130]}	tensor(-0.7400)
{'layer0_row127': [0, 127]}	tensor(-0.7362)
{'layer0_row123': [0, 123]}	tensor(-0.7340)
{'layer0_row248': [0, 248]}	tensor(-0.7313)
{'layer1_row33': [1, 33]}	tensor(-0.7281)
{'layer0_row10': [0, 10]}	tensor(-0.7275)
{'layer1_row45': [1, 45]}	tensor(-0.7248)
{'layer0_row65': [0, 65]}	tensor(-0.7238)
{'layer1_row49': [1, 49]}	tensor(-0.7198)
{'layer0_row284': [0, 284]}	tensor(-0.7195)
{'layer0_row64': [0, 64]}	tensor(-0.7157)
{'layer0_row162': [0, 162]}	tensor(-0.7130)
{'layer0_row85': [0, 85]}	tensor(-0.7108)
{'layer0_row154': [0, 154]}	tensor(-0.7081)
{'layer0_row120': [0, 120]}	tensor(-0.7039)
{'layer1_row30': [1, 30]}	tensor(-0.7017)
{'layer0_row220': [0, 220]}	tensor(-0.7006)
{'layer0_row74': [0, 74]}	tensor(-0.6977)
{'layer0_row225': [0, 225]}	tensor(-0.6954)
{'layer0_row106': [0, 106]}	tensor(-0.6921)
{'layer0_row203': [0, 203]}	tensor(-0.6889)
{'layer0_row37': [0, 37]}	tensor(-0.6860)
{'layer0_row211': [0, 211]}	tensor(-0.6836)
{'layer0_row268': [0, 268]}	tensor(-0.6808)
{'layer0_row231': [0, 231]}	tensor(-0.6772)
{'layer0_row167': [0, 167]}	tensor(-0.6749)
{'layer0_row165': [0, 165]}	tensor(-0.6714)
{'layer0_row93': [0, 93]}	tensor(-0.6689)
{'layer0_row89': [0, 89]}	tensor(-0.6656)
{'layer0_row170': [0, 170]}	tensor(-0.6631)
{'layer0_row100': [0, 100]}	tensor(-0.6597)
{'layer1_row73': [1, 73]}	tensor(-0.6572)
{'layer1_row56': [1, 56]}	tensor(-0.6558)
{'layer1_row36': [1, 36]}	tensor(-0.6546)
{'layer1_row18': [1, 18]}	tensor(-0.6544)
{'layer0_row293': [0, 293]}	tensor(-0.6534)
{'layer0_row159': [0, 159]}	tensor(-0.6507)
{'layer0_row226': [0, 226]}	tensor(-0.6472)
{'layer0_row188': [0, 188]}	tensor(-0.6447)
{'layer0_row7': [0, 7]}	tensor(-0.6420)
{'layer0_row221': [0, 221]}	tensor(-0.6382)
{'layer0_row241': [0, 241]}	tensor(-0.6357)
{'layer0_row139': [0, 139]}	tensor(-0.6333)
{'layer1_row55': [1, 55]}	tensor(-0.6301)
{'layer0_row218': [0, 218]}	tensor(-0.6290)
{'layer0_row294': [0, 294]}	tensor(-0.6260)
{'layer0_row283': [0, 283]}	tensor(-0.6237)
{'layer0_row96': [0, 96]}	tensor(-0.6201)
{'layer0_row133': [0, 133]}	tensor(-0.6174)
{'layer0_row11': [0, 11]}	tensor(-0.6145)
{'layer1_row20': [1, 20]}	tensor(-0.6124)
{'layer0_row264': [0, 264]}	tensor(-0.6107)
{'layer0_row69': [0, 69]}	tensor(-0.6084)
{'layer1_row13': [1, 13]}	tensor(-0.6056)
{'layer0_row6': [0, 6]}	tensor(-0.6044)
{'layer0_row281': [0, 281]}	tensor(-0.6014)
{'layer0_row109': [0, 109]}	tensor(-0.5984)
{'layer1_row97': [1, 97]}	tensor(-0.5955)
{'layer0_row149': [0, 149]}	tensor(-0.5946)
{'layer0_row178': [0, 178]}	tensor(-0.5922)
{'layer0_row113': [0, 113]}	tensor(-0.5894)
{'layer0_row19': [0, 19]}	tensor(-0.5862)
{'layer0_row250': [0, 250]}	tensor(-0.5833)
{'layer0_row118': [0, 118]}	tensor(-0.5801)
{'layer0_row157': [0, 157]}	tensor(-0.5772)
{'layer1_row34': [1, 34]}	tensor(-0.5747)
{'layer1_row93': [1, 93]}	tensor(-0.5736)
{'layer0_row247': [0, 247]}	tensor(-0.5731)
{'layer0_row278': [0, 278]}	tensor(-0.5703)
{'layer0_row152': [0, 152]}	tensor(-0.5669)
{'layer1_row52': [1, 52]}	tensor(-0.5650)
{'layer0_row184': [0, 184]}	tensor(-0.5639)
{'layer1_row70': [1, 70]}	tensor(-0.5612)
{'layer1_row39': [1, 39]}	tensor(-0.5606)
{'layer0_row191': [0, 191]}	tensor(-0.5596)
{'layer0_row25': [0, 25]}	tensor(-0.5562)
{'layer1_row76': [1, 76]}	tensor(-0.5537)
{'layer1_row29': [1, 29]}	tensor(-0.5528)
{'layer0_row105': [0, 105]}	tensor(-0.5525)
{'layer0_row103': [0, 103]}	tensor(-0.5494)
{'layer0_row201': [0, 201]}	tensor(-0.5468)
{'layer0_row90': [0, 90]}	tensor(-0.5434)
{'layer0_row151': [0, 151]}	tensor(-0.5407)
{'layer0_row48': [0, 48]}	tensor(-0.5380)
{'layer1_row62': [1, 62]}	tensor(-0.5355)
{'layer0_row104': [0, 104]}	tensor(-0.5347)
{'layer0_row156': [0, 156]}	tensor(-0.5309)
{'layer0_row277': [0, 277]}	tensor(-0.5285)
{'layer0_row62': [0, 62]}	tensor(-0.5256)
{'layer0_row207': [0, 207]}	tensor(-0.5222)
{'layer0_row146': [0, 146]}	tensor(-0.5197)
{'layer0_row147': [0, 147]}	tensor(-0.5171)
{'layer0_row200': [0, 200]}	tensor(-0.5142)
{'layer1_row0': [1, 0]}	tensor(-0.5112)
{'layer1_row15': [1, 15]}	tensor(-0.5108)
{'layer0_row238': [0, 238]}	tensor(-0.5099)
{'layer0_row298': [0, 298]}	tensor(-0.5071)
{'layer0_row60': [0, 60]}	tensor(-0.5038)
{'layer0_row131': [0, 131]}	tensor(-0.5010)
{'layer0_row173': [0, 173]}	tensor(-0.4977)
{'layer0_row8': [0, 8]}	tensor(-0.4956)
{'layer0_row84': [0, 84]}	tensor(-0.4923)
{'layer0_row177': [0, 177]}	tensor(-0.4899)
{'layer0_row297': [0, 297]}	tensor(-0.4868)
{'layer1_row82': [1, 82]}	tensor(-0.4837)
{'layer1_row69': [1, 69]}	tensor(-0.4833)
{'layer0_row276': [0, 276]}	tensor(-0.4827)
{'layer0_row179': [0, 179]}	tensor(-0.4796)
{'layer0_row262': [0, 262]}	tensor(-0.4770)
{'layer1_row78': [1, 78]}	tensor(-0.4743)
{'layer0_row266': [0, 266]}	tensor(-0.4733)
{'layer0_row267': [0, 267]}	tensor(-0.4708)
